epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9125,1.0745,3.40121,1.40827,0.71348,0.4,0.21833,0.19375,0.6871,5.43669,1.20378,3.334e-05,3.334e-05,3.334e-05
2,60.5513,1.02622,2.6649,1.31809,0.84938,0.46738,0.46417,0.40109,0.68514,5.00579,1.165,8.19747e-05,8.19747e-05,8.19747e-05
3,85.021,0.90625,2.28602,1.21083,0.32015,0.75,0.45811,0.40438,0.76671,6.31007,1.23919,0.000128959,0.000128959,0.000128959
4,107.448,0.8939,1.51238,1.15563,0.37292,0.73145,0.55774,0.48319,0.74413,4.55276,1.1203,0.000174293,0.000174293,0.000174293
5,132.25,0.82563,1.37573,1.13671,0.93304,0.46667,0.4684,0.39918,0.69027,2.99457,1.0885,0.000217977,0.000217977,0.000217977
6,168.11,0.90982,1.16108,1.11381,0.97323,0.46667,0.47099,0.41765,0.61616,2.60183,1.11599,0.00026001,0.00026001,0.00026001
7,206.595,0.84348,1.14668,1.09177,0.95967,0.46667,0.47273,0.41256,0.67953,2.92552,1.11295,0.000300393,0.000300393,0.000300393
8,242.906,0.93033,1.25598,1.14061,0.94927,0.46667,0.47432,0.39591,0.91322,3.40131,1.2483,0.000339126,0.000339126,0.000339126
9,279.915,0.95723,1.07527,1.11802,0.9547,0.46667,0.48608,0.42408,0.74445,2.77871,1.1454,0.000376209,0.000376209,0.000376209
10,312.79,0.86971,1.00919,1.1014,0.88616,0.91667,0.95833,0.78842,0.78335,2.58949,1.21055,0.000411641,0.000411641,0.000411641
11,341.955,0.9207,0.99982,1.12351,0.77747,0.83961,0.86833,0.63844,0.92254,2.79229,1.31005,0.000445422,0.000445422,0.000445422
12,363.092,0.93359,0.99869,1.11636,0.75197,1,0.94417,0.73462,0.77801,2.70584,1.23276,0.000477554,0.000477554,0.000477554
13,384.959,0.89185,1.00654,1.07797,0.98509,0.91667,0.935,0.80064,0.74685,2.1261,1.27185,0.000508035,0.000508035,0.000508035
